"KNOS-2","KNOS0002","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"E",75800,83000,4.53,979,6530,24200,2.25,1.31,4.86,28.1,4760,.368,26.7,39.7,23.73,62400,59.5,2.52,7.03,.965,425,10.06,468,109,.68,3.75,207,,637,-1250
"KNOS-3","KNOS0003","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"F",69500,93000,4.9,702,6250,20100,3.2,1.34,4.9,28.2,4330,.379,27.9,31.6,21.09,54000,55.5,2.65,6.83,.882,409,9.18,437,109,.71,3.57,180,,638,-1250
"KNOS-4","KNOS0004","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"G",62900,67000,4.24,1082,5400,24100,1.88,1.19,4.37,25.6,4460,.336,21.2,42.8,21.8,62200,54.1,2.26,6.79,.866,464,9.22,543,112,.63,3.39,207,,639,-1250
"KNOS-5","KNOS0005","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"H",86300,77000,4.45,769,7870,22500,2.29,1.25,4.83,27,4590,.335,25.8,29.8,21.84,56800,60,2.44,7.43,1.039,374,9.95,327,120,.67,4.1,182,,640,-1250
"KNOS-7","KNOS0007","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"J",65700,58000,4.42,821,8530,22700,2.37,1.22,4.68,26.7,4530,.353,23,33.4,19.88,54900,57,2.4,7.5,.955,432,9.73,384,115,.65,4.02,166,,641,-1250
"KNOS-8","KNOS0008","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"K",65700,127000,4.34,620,5300,21900,3.14,1.19,4.39,25.2,3540,.339,23.1,28.5,18.76,49000,49.9,2.35,6.53,.794,358,8.28,369,93,.65,3.36,170,,642,-1250
"KNOS-9","KNOS0009","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"M",85100,61000,4.3,816,6260,20500,2.27,1.18,4.42,26.2,4660,.346,26.2,43.1,24.16,64200,53.5,2.43,8.39,.922,455,10.43,510,127,.62,3.54,207,,643,-1250
"KNOS-10","KNOS0010","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"N",71600,86000,4.59,875,7820,20200,2.27,1.23,4.69,28.4,4430,.369,24.1,28.5,19.7,51800,56.6,2.38,5.32,.967,406,9.28,344,92,.68,4.1,157,,644,-1250
"KNOS-13","KNOS0013","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"O",73800,99000,4.77,742,10820,8600,3.36,1.35,5.04,28.4,3880,.364,28,34.7,21.6,55900,56.6,2.67,7.89,.894,413,9.67,464,68,.73,3.75,169,,645,-1250
"KNOS-14","KNOS0014","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"P",79500,89000,4.28,894,7060,20500,2.09,1.21,4.54,25.3,4620,.33,23,42.3,22.7,61600,55.1,2.46,6.87,.923,422,9.92,497,95,.63,3.6,195,,646,-1250
"KNOS-15","KNOS0015","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"Q",64200,94000,4,609,5350,20300,2.85,1.18,4.29,24.2,4020,.34,23.2,29.6,18.69,48600,48.1,2.37,5.12,.795,330,8.24,393,80,.66,3.44,195,,647,-1250
"KNOS-16","KNOS0016","",35.297,25.163,"Royal Road excavations","Warren, P. M.","","British School at Athens","Pottery","Late Minoan III Fine Ware","","","","","","","","","","","","University of Manchester",2218,"R",60500,93000,4.86,586,8720,19900,1.91,1.38,5.13,27.9,3770,.344,26.7,19.4,16.3,42700,54.1,2.56,4.4,.906,299,9.05,198,80,.75,4.52,132,,648,-1250
