"MYC-9","MYC0009","Lion Gate I M.1",37.73,22.756,"Lion Gate I","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"E",78700,104900,4.52,921,6160,28700,2.24,1.192,5.091,31.65,3780,.391,32.8,27.95,21.22,49700,62.3,2.55,9.4,.8,261.1,10.61,225,146,.874,4.26,120,,742,-1250
"MYC-10","MYC0010","Lion Gate I M.2",37.73,22.756,"Lion Gate I","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"F",83400,97600,4.55,958,9670,22200,2.26,1.183,5.234,32.59,4250,.384,25.7,27.52,21.21,51600,63.7,2.61,9.7,.851,248.6,10.88,222,164,.778,3.94,127,,743,-1250
"MYC-11","MYC0011","Lion Gate I M.3",37.73,22.756,"Lion Gate I","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"G",92200,84900,4.73,890,4570,26400,2.61,1.261,5.497,35.58,4740,.441,31.9,30.32,24.24,54600,67.7,2.58,10.3,.866,276.5,12.2,220,185,.793,3.58,140,,744,-1250
"MYC-12","MYC0012","Lion Gate II M.4",37.73,22.756,"Lion Gate II","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"H",82900,93200,4.39,935,6360,29600,2.26,1.209,5.098,32.99,4460,.382,24.5,27.17,20.63,51300,62.8,2.54,9.2,.865,282,11.3,219,132,.797,4.49,126,,745,-1250
"MYC-13","MYC0013","Lion Gate II M.5",37.73,22.756,"Lion Gate II","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","B.S.A. XXV, p. 22, Fig. 6b","","Y","Direct transcription",508,"J",71000,109400,4.46,827,5250,25200,1.99,1.138,4.926,28.68,3660,.367,26.4,28.09,19.73,44800,57.3,2.57,8.3,.759,290.6,10.07,240,116,.811,3.6,124,,746,-1250
"MYC-14","MYC0014","Lion Gate II M.6",37.73,22.756,"Lion Gate II","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"K",78100,103100,4.48,861,4780,28100,2.28,1.123,5.181,31.97,4150,.375,28.3,26.34,20.75,49100,60.8,2.5,8.7,.787,246.4,10.51,206,149,.722,3.95,113,,747,-1250
"MYC-15","MYC0015","Lion Gate III M.7",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"M",75400,87000,4.38,933,6840,30500,2.24,1.135,4.96,30.58,4280,.379,24.3,25.81,20.58,48700,60,2.53,8.6,.792,288,10.28,209,146,.76,3.86,123,,748,-1250
"MYC-16","MYC0016","Lion Gate III M.8",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIC (Karageorghis) (Discription) LH IIIB","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"N",82000,105700,4.32,897,4960,24200,2.29,1.201,5.163,32.13,4400,.367,27.8,30.88,22.63,50400,62.3,2.57,10.8,.782,277.6,10.76,250,162,.694,3.57,122,,749,-1250
"MYC-17","MYC0017","Lion Gate III M.9",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"O",78800,88500,4.25,939,7320,23900,2.13,1.107,4.776,29.48,4110,.354,24.5,26.67,20.8,50900,61,2.43,8.4,.837,313,10.5,216,139,.67,4.1,113,,750,-1250
"MYC-18","MYC0018","Lion Gate III M.10",37.73,22.756,"Lion Gate III","Karageorghis, V.","ÃkerstrÃ¶m, Ã.","Swedish Institute at Athens","Pottery","Late Helladic IIIB","","","","","","LH IIIB (Karageorghis) ","Late Helladic IIIB, 1300-1200","","","","Y","Direct transcription",508,"P",84300,97800,4.56,755,5650,24800,2.29,1.178,5.124,32.05,4240,.395,30.4,28.01,22.07,52200,62.1,2.57,9.6,.817,281.2,10.95,224,153,.799,3.69,121,,751,-1250
