site number,longitude,lattitude,name
0,38.086,21.859,Achae
1,37.75,23.423,Aegin
2,37.526,22.874,Asine
3,37.713,22.84,Berbati
4,37.05,21.716,Chora
5,39.599,19.918,Corfu
6,35.051,24.813,Festos
7,36.834,22.605,Hagios
8,35.516,24.018,Kasteli
9,37.932,22.892,Korakou
10,37.73,22.756,Mycenae
11,37,21.913,Nichoria
12,37.647,21.615,Olympia
13,37.539,21.96,Palaiokastro
14,37.917,34.017,Perati
15,37.311,21.721,Peristeria
16,37.668,21.61,Platanos
17,38.316,23.316,Thebes
18,37.599,22.799,Tiryns
19,37.793,22.779,Zygouries
