site,al,ca,v,dy,mn,na,k,sr,as,u,eu,ba,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,sb,cr,th,ni,rb,tb,hf,zn,id
"Achaea",75800,48100,127,4.56,987,8550,16309,330,7.9,2.16,1.1996,356,5.037,27.5,4870,.388,27.5,27.13,19.05,53400,55.8,2.7,3.4,.892,.6,282.5,11.01,216,73,.733,4.89,98,1
"Achaea",81600,70500,131,5.09,1280,6040,21249,136,6.7,2.38,1.3697,338,5.742,31.42,4890,.441,28,35.5,22.3,56700,63.7,2.84,3.3,.96,.6,238.4,11.78,219,98,.88,4.21,123,2
"Achaea",94500,24300,195,5.82,929,7540,22367,240,6.7,2.68,1.5577,311,6.529,37.99,5700,.465,34,32.2,24.33,57600,72.3,3.26,5.2,.973,.4,250.4,12.98,224,92,1.005,4.53,164,3
"Achaea",72300,61200,150,4.99,1111,6930,23672,292,7.9,2.53,1.2623,329,5.503,30.51,4460,.402,29.7,28.65,19.7,49300,60.3,2.69,7,.827,.6,199.4,10.52,195,148,.843,4.14,101,4
"Achaea",85400,35800,214,4.33,1092,9240,25629,177,5.3,2.74,1.128,380,4.677,29.09,5260,.424,26.1,25.86,22.54,44600,55.7,2.9,7,.918,.7,241,11.08,199,125,.786,4.94,107,5
"Achaea",84700,49500,213,4.56,933,10020,23579,40,8.8,2.61,1.1638,331,4.984,29.76,5030,.423,27,29.75,22.56,53500,58.9,2.82,6.8,.9,.7,250.4,11.73,208,155,.788,4.53,143,6
"Achaea",85900,66000,118,4.71,1044,8720,27213,510,27.1,2.31,1.1996,355,4.967,28.74,4460,.402,27.2,28.6,22.67,52900,59.4,2.59,7.4,.808,.7,266.7,10.93,213,150,.841,3.58,103,7
"Achaea",76100,63300,141,4.85,766,8160,27213,93,7.9,2.29,1.1728,350,5.002,274,4470,.403,27.1,30.84,19.07,54700,55,2.69,5.3,.859,.6,252.6,10.6,204,111,.826,4.03,99,8
"Achaea",82600,58300,156,4.58,973,9040,27959,322,9.9,2.41,1.2981,610,5.354,30.55,4650,.412,26.8,29.68,23.01,57200,60.9,2.66,6.5,.859,.7,284.6,11.34,241,135,.781,3.94,101,9
"Achaea",82000,49600,162,4.5,1041,8200,25070,274,4.8,2.14,1.1549,398,4.754,27.3,5060,.367,25.5,29.68,22.71,56300,55.2,2.44,7.8,.858,.6,298.2,10.52,236,140,.755,3.56,118,10
"Achaea",81000,27500,133,4.58,639,10260,22274,405,4.9,2.58,1.2175,320,5.004,30.4,5350,.414,30.3,27.75,21.84,53400,61.2,2.67,5.5,.978,.4,308.5,11.63,198,91,.779,5.03,133,11
"Achaea",82400,42300,148,4.5,972,11150,23206,193,4.6,2.21,1.2534,376,5.059,29.28,4900,.345,25.6,27.89,21.48,54000,61.4,2.56,6.8,.894,.6,288.6,10.56,224,150,.689,4.91,124,12
"Achaea",86300,30500,127,4.82,874,7760,21342,78,7.8,2.39,1.2713,373,5.419,30.25,5420,.422,29.8,29.96,21.99,60500,64.2,2.8,3.8,.96,.4,251.5,12.04,214,96,.859,4.4,135,14
"Achaea",66600,49500,111,4.76,892,6850,25070,212,6.2,2.7,1.2981,298,5.23,29,3980,.372,28.9,29.86,18.93,45700,66.2,2.6,6,.843,.6,198.8,10.04,173,151,.77,4.23,88,15
"Achaea",77300,43900,119,3.92,928,9400,23579,376,5.6,2.13,1.0295,392,4.453,25.21,5140,.335,24.9,27.81,21.26,54300,55.9,2.43,6.8,.923,.5,249.2,10.39,198,152,.608,4.68,129,16
"Achaea",85600,25400,129,4.89,598,10010,22833,98,5.1,2.59,1.3339,338,5.357,30.86,5180,.434,30.2,26.25,21.83,53100,62.7,2.83,5.7,.952,.4,297.9,11.38,187,124,.813,5.37,104,17
"Achaea",88300,27300,160,5.18,854,7410,29357,217,8.6,2.6,1.2713,332,5.454,33.6,5150,.434,27.1,28.56,23.08,56000,67.8,3,7.5,.927,.7,252.9,11.77,214,158,.964,4.79,107,18
"Achaea",83800,34100,188,4.21,927,9870,33178,391,7.1,2.63,1.1012,378,4.524,29.14,5420,.403,27,37.57,23.68,57000,60,2.65,7.9,.934,.6,276.8,11.08,221,151,.694,4.84,104,19
"Achaea",92200,34100,200,5.66,977,8480,29450,1064,4.8,2.68,1.5219,369,6.229,35.69,5450,.443,36.1,30.84,24.72,60400,72.2,3.35,7.1,.971,.5,233.3,12.63,183,128,.833,4.43,119,20
"Aegina",59200,129400,93,4.46,597,6140,18400,537,1.9,3.73,.889,217,4.01,21.31,3930,.299,20.2,24.1,17.88,42900,44.6,2.34,10.3,.679,.9,507.5,7.41,430,129,.556,3.24,134,21
"Aegina",52400,129500,109,3.86,542,7410,13900,392,9.9,4.72,.755,218,3.403,17.58,3330,.281,16.9,26.78,17.25,45300,36.9,2.06,7.6,.596,.8,553,5.88,513,93,.476,2.98,108,23
"Aegina",66500,130300,107,4.27,562,8140,23200,511,13.7,4.7,.849,241,4.164,23.27,3970,.329,19.7,27.72,18.54,45300,47.6,2.35,10.3,.71,1.1,541,7.84,423,116,.584,3.11,122,24
"Aegina",86100,86700,139,4.51,897,6920,26300,360,21.6,2.99,1.176,428,5.047,30.87,4800,.355,24.4,26.5,20.91,54000,61.5,2.662,8.5,.81,.6,239.9,10.82,199,182,.789,3.75,90,26
"Aegina",87200,129500,173,4.44,938,14770,13800,504,1.3,2.38,1.201,290,5.191,31.21,4420,.375,27.9,33.13,22.87,58300,67.1,2.493,14,.837,.7,295.2,11.51,244,109,.85,3.81,144,27
"Aegina",85000,97500,154,4.64,780,14480,14100,491,6.5,2.3,1.209,345,5.163,31.01,4570,.37,27.2,28.24,20.15,52100,57.1,2.694,8.4,.82,.7,245.3,10.21,184,143,.695,4.05,130,28
"Aegina",80500,125600,117,4.67,945,14250,11700,705,3.1,2.37,1.214,302,5.174,31.28,4490,.359,25.9,33.56,23.01,58000,66.7,2.429,14,.839,.6,295.4,11.86,298,103,.819,3.84,137,29
"Aegina",80500,107200,112,5.09,980,6480,27900,728,8.1,2.42,1.218,522,5.218,30.99,4340,.382,23.2,29.06,21.41,56900,64.1,2.653,8.5,.819,.6,241.8,11.25,221,172,.839,3.6,128,30
"Aegina",81300,109400,138,4.83,957,6930,23300,516,12.4,2.67,1.22,350,5.282,31.38,4590,.359,28.7,26.59,20.8,55400,62,2.713,8.5,.833,.6,225.1,11.21,180,149,.785,3.87,126,31
